,en,es,ja,pt_BR,ar,zh,ru,jivi
castellano,ingles,castellano,yanomami,portugues,arabe,chino,ruso,
Ingles,English,English, Ingles,Inglês,الإنجليزية,英語,английский,
Español, Spanish, Español,Español,Espanhol,الأسبانية,西班牙語,испанский,
Yanomami, Yanomamo, Yanomami,Yanomami,Yanomami,يانومامي,亞努瑪米,Яномами,
Arabe,Arab,Árabe,Arabe,Árabe,العربي,阿拉伯联盟,арабский,
Chino,Chinese,Chino,Chino,Chinês,الصينية,中国,китайский,
Ruso,Russian,Ruso,Ruso,Russo,الروسية,俄,Pусский,
Portugues,Portuguese,Portugués,Portugués,Português,البرتغالية,葡萄牙,португальский,
Nueva colmena ganada, Hives done...,Nueva colmena ganada,Puu kea ya ki thapope,New colmeia ganhou,خلية اكتسبت جديدة,新獲得的蜂巢,Новый получил улей,
Lista las medicinas, Medicine done..., Lista las medicinas,Mirisina ke pe aha ,Medicamentos da lista,الأدوية قائمة,藥品名單,Список лекарств,
Aplicar,Apply,Aplicar,Aplicar,Aplicar,تطبق,申请,применять,
Bonos, Bonus, Bonos,Nomaiha,Títulos,قيود,債券,облигации,
Mañoco..., Ha ingles, Mañoco,Mañoco ,Mañoco,Mañoco,Mañoco,Mañoco,
Medicinas, Medicines, Medicinas,Mirisina,Medicamentos,الأدوية,藥品,медикаменты,
Elige un idioma y presiona el boton aplicar, Choice an languaje and press on applic button,Elige un idioma y presiona el boton aplicar,The a ta tere ihi tehe ai the ta hutikiki aplicar,Escolha um idioma e pressione o botão para aplicar,اختيار اللغة واضغط على الزر لتطبيق,選擇一種語言，然後按按鈕應用,"Пожалуйста, выберите язык и нажмите кнопку, чтобы применить",
Primer diálogo, First dialogue,Primer diálogo,Wayou pario,primeiro diálogo,أول حوار,第一次對話,первый диалог,
Segundo diálogo, Second dialogue,Segundo diálogo,Wayou koo,segundo diálogo,الحوار الثاني,第二次對話,второй диалог,
Tercer diálogo, Third dialogue,Tercer diálogo,Ai the a wayou koo,terceiro diálogo,الحوار الثالث,第三對話,третий диалог,
Umm.. debo llevar esto al lugar correcto, ¡Umm..! i must to transport it to the correct place,¡Umm..!  llevar al lugar correcto,Ya the nia teai totihitao ,Umm ..! tomar o lugar certo,أم ..! أخذ المكان المناسب,嗯..！採取正確的地方,Умм ..! занять правильное место,
Viva he conseguido el fuego. Lo llevare al chaman, ¡Viva! i have accomplish the fire. Lo llevaré al chamán ingles,¡Viva! he conseguido el fuego. Lo llevaré al chamán,Kowa wake terema.shapori pe iha ya wake hipeape,Viva! Eu tenho o fogo. Vou levar o xamã,فيفا! لقد حصلت على النار. سآخذ الشامان,萬歲！我有火。我要巫師,Viva! У меня есть огонь. Я возьму шаману,
Fuegoooo...,Flame..., Fuegoooo...,Kowa wake,fuegoooo …,حريق,火,огонь,
Agua, Water, Agua...,Mau,Água ...,ماء,水...,вода,
Ho ho me han visto, ¡Ho ho! he show me,¡Ho ho! me han visto,Ware tararema,Ho ho! Eu ter-me visto,هو هو! لقد رآني,嗬嗬！我已經看到了我,Хо хо! Я видел меня,
Pausado, Paused, Pausado,Waihaki,Vagaroso,على مهل,悠閒,неторопливый,
Continuar, Continue, Continuar,Kuwa ai koo,Continuar,استمر,繼續,продолжать,
Colmenas, Hives, Colmenas,Puu kea,Colmeias,خلية نحل,蜂箱,ульи,
Plumas, Feathers, Plumas,Paushi keki,Penas,الريش,羽毛,перья,
Inventario, Schedule, Inventario,Komi the pe,Inventário,جرد,盤點,инвентарь,
Umm.. debo llevar este fuego al lugar correcto,Umm ..! I bring this fire to the right place,¡Umm..! debo llevar este fuego al lugar correcto,Kowa wake teai totihitao,Umm ..! Eu trago este fogo para o lugar certo,أم ..! أحمل هذه النار في المكان المناسب,嗯..！我把這個火到正確的位置,Умм ..! Я приношу этот огонь в нужное место,
Umm.. debo llevar esta pluma azul al lugar correcto,Umm ..! I bring this blue pen to the right place,¡Umm..! debo llevar esta pluma azul al lugar correcto,Paushi ushi ushi keki ,Umm ..! Eu trago esta caneta azul ao lugar certo,أم ..! أحمل هذا القلم الأزرق إلى المكان الصحيح,嗯..！我把這個藍色的筆到正確的位置,Умм ..! Я приношу эту синей ручкой в нужном месте,
Umm.. debo llevar esta pluma amarilla al lugar correcto,Umm ..! I take this yellow feather to the right place,¡Umm..! debo llevar esta pluma amarilla al lugar correcto,Paushi frare frare keki,Umm ..! Aproveito a pena amarela ao lugar certo,أم ..! وأغتنم هذه ريشة الصفراء إلى المكان الصحيح,嗯..！我藉此黃羽到正確的位置,Умм ..! Я беру это желтое перо на нужном месте,
Umm.. debo llevar esta pluma morada al lugar correcto,Umm ..! I take this purple feather to the right place,¡Umm..! debo llevar esta pluma morada al lugar correcto,Paushi ushuhuwe keki,Umm ..! Aproveito a pena roxo ao lugar certo,أم ..! وأغتنم هذه قلم الأرجواني إلى المكان الصحيح,嗯..！我藉此紫色筆來對了地方,Умм ..! Я пользуюсь этой фиолетовую ручку в нужное место,
Umm.. debo llevar esta pluma roja al lugar correcto,Umm ..! I wear this red feather to the right place,¡Umm..! debo llevar esta pluma roja al lugar correcto,Paushi wake wake keki ,Umm ..! Eu visto esta caneta vermelha para o lugar certo,أم ..! أرتدي هذا القلم الأحمر إلى المكان الصحيح,嗯..！我穿上這件紅色的筆來對了地方,Умм ..! Я ношу эту красную ручку в нужное место,
Umm.. debo llevar esta pluma verde al lugar correcto,Umm ..! I bring this green feather to the right place,¡Umm..! debo llevar esta pluma verde al lugar correcto,Paushi riye riye keki ,Umm ..! Eu trago este caneta verde para o lugar certo,أم ..! أحمل هذا القلم الأخضر إلى المكان الصحيح,嗯..！我把這個綠色的筆來對了地方,Умм ..! Я приношу эту зеленую ручку в нужное место,
Pluma azul,Feathers blue,Pluma azul,Paushi ushi ushi  ,Caneta azul,القلم الأزرق,藍筆,синяя ручка,
Pluma amarilla,Feathers yellow,Pluma amarilla,Paushi frare,Pena amarela,القلم الأصفر,黃筆,желтая ручка,
Pluma morada,Feathers purple,Pluma morada,Paushi ushuhuwe,Pena roxa,القلم البنفسجي,紫色鋼筆,фиолетовый перо,
Pluma roja,Feathers red,Pluma roja,Paushi wake  ,Caneta vermelha,قلم أحمر,紅筆,красное перо,
Pluma blanca,White feather,Pluma blanca,Paushi au au,Pena branca,ريشة بيضاء,白羽,белое перо,
Pluma verde,Feathers green,Pluma verde,Paushi riye riye ,Caneta verde,القلم الأخضر,綠色的筆,зеленый перо,
Una pluma para mi coleccion,A feather for my colecction,Una pluma para mi colección,Paushi ya ki thapope,Uma caneta para a minha coleção,قلم لمجموعتي,一個為我的收筆,Ручка для моей коллекции,
Flor blanca,White flower,Flor blanca,Hore hore au au ,Flor branca,زهرة بيضاء,白色的花,белый цветок,
Flor rosada,Pink flower,Flor rosada,Hore hore ushuhuwe,Flor rosa,زهرة القرنفل,粉紅色的花,розовый цветок,
Flor roja,Red flower,Flor roja,Hore hore wake wake ,Flor vermelha,زهرة حمراء,紅花,красный цветок,
Hongo liso,Smooth fungus,Hongo liso,Sikomi asi ki ,Fungo lisa,فطر السلس,木耳平穩,гладкий гриб,
Hongo pintado,Painted fungus,Hongo pintado,Atama keki,Fungo pintado,فطر رسمت,塗木耳,окрашенная грибок,
Huevo,Egg,Huevo,Pei nathe,Ovo,بيضة,雞蛋,яйцо,
Mision,Next mision,Próxima misión...,Pei the aha ,A próxima missão ...,المهمة القادمة ...,下一步的任務...,Следующая миссия ...,
"Gracias, hasta pronto","Thank you, see you latter","Gracias, hasta pronto",Hoa ai tehe kowe,"Obrigado, ver você em breve",شكرا، نراكم قريبا,謝謝，看到您的到來,"Спасибо, скоро увидимся",
Umm.. debo llevar este huevo al lugar correcto,Umm ..! I bring this egg to the right place,Umm.. debo llevar este huevo al lugar correcto,Ei nathe re kuwi ya nathe praai totihitaope ,Umm .. Eu tomo este ovo para o lugar certo,أم .. وأغتنم هذه البيضة في المكان المناسب,嗯..我拿這個蛋到正確的位置,Умм .. Я беру это яйцо в нужном месте,
mision fuego,Fire Mision,Misión del Fuego,Kowa wake aha,Missão Fogo,بعثة النار,團火,Миссия Противопожарная,
chaman1,"[fill]Hello! I am the Shaman, I need your help to catch the bird that stole fire if you bring will give a golden pen.","[fill]Hola! soy el [b]Chamán[/b], necesito tu ayuda para atrapar el ave que se robo el [color=yellow]fuego[/color], si lo traes te daré una pluma dorada.",Ei nathe re kuwi ya nathe praai totihitaope ,"[fill]Olá! Eu sou o Shaman, eu preciso de sua ajuda para pegar o pássaro que roubou o fogo se você levar dará uma caneta de ouro.",[fill]مرحبا! أنا شامان، أنا بحاجة لمساعدتكم للقبض على الطيور التي سرقت النار لو وجهتم سيعطي القلم الذهبي.,[fill]您好！我是萨满，我需要你的帮助，以赶上如果你带将给出一个金色的钢笔，偷走了火的鸟。,"Привет! Я шаман, мне нужна ваша помощь, чтобы поймать птицу, которая украла огонь, если вы принесете даст золотое перо.",
gracias_fuego,"[fill]Thanks for getting the fire, we can now eat our cooked food. I'll give you a golden pen as thanks.","[fill]Urraa... gracias por conseguir el fuego, ahora podremos comer nuestro alimento cocinado. Te daré una pluma dorada como agradecimiento.",,"[fill]Obrigado por o fogo, agora podemos comer a nossa comida caseira. Vou te dar uma caneta de ouro como agradecimento.",بفضل من أجل الحصول على النار، يمكننا الآن أن تناول الطعام المطبوخ لدينا. سأعطيك القلم الذهبي كما شكر.,谢谢你把火，我们现在就去我们的熟食。我给你一个金色的钢笔作为感谢。,"Благодарим Вас за то огонь, теперь мы можем съесть нашу приготовленную пищу. Я дам вам золотое перо в качестве благодарности.",
mision_huevo,"[fill]A alligators attracted by the sound of eggs when they fall into the water, if you want you bring me one for making a feedlot.","[fill][color=purple]A los caimanes les atrae el sonido de los huevos cuando caen dentro del agua, si quieres me traes uno para hacer un cebadero.[/color]",,"[fill]A atraídos pela jacarés som de ovos quando caem na água, se você quiser, me trazer um para fazer um confinamento.",وتجذبهم التماسيح الصوت من البيض عندما تسقط في الماء، إذا كنت تريد أن تحضر لي واحد لصنع التسمين.,一个由鸡蛋的声音吸引鳄鱼当他们落入水中，如果你想你给我一个做饲养场。," Привлеченные звуковыми аллигаторов яиц, когда они падают в воду, если вы хотите, вы приносите мне один для изготовления загоне.",
huevo_listo,[fill]The safest thing is that all the alligators come to this place.,[fill][color=purple]Lo más seguro es que todos los caimanes se vendrán a este lugar.[/color],,[fill]A coisa mais segura é que todos os jacarés vir a este lugar.,أسلم شيء هو أن جميع التماسيح تأتي إلى هذا المكان.,最安全的做法是，所有的短吻鳄来到这个地方。,"Самое безопасное, что все аллигаторы пришли в это место.",
Opacidad,,Opacidad,,,,,,
opacidad_controles,Opacity controls,Opacidad de controles,,Controles de opacidade,ضوابط التعتيم,不透明度控制,Непрозрачность управления,
historia fuego,"[fill]My Yanomami people have been eating their food raw because they have fire, one of the shamans had hidden fire and went to the forest for cooking food and only for his wife. A few days ago it was discovered that kept the fire in his stomach and the only way to get it out was making him laugh. But his wife is evil, has sent a bird to the fire is carried away and launched a curse to the people, with the same fire cremated when they die and drink their bones. [center] NEED YOUR HELP TO CATCH THE BIRD THAT TOOK THE FIRE AND HIGH ON A TREE FOR ESPARSA BRASAS ALL PEOPLE OF THE PEOPLE.","[fill]Mi pueblo Yanomami ha estado comiendo su alimento crudo porque no tienen fuego, uno de los chamanes tenía fuego oculto y se iba a la selva para cocinar alimento solo para el y su mujer. Hace unos días se descubrió que guardaba el fuego en su estómago y la única manera de sacárselo fué haciéndolo reír. Sin embargo su mujer es malvada, ha enviado una ave para que se lleve el fuego lejos y ha lanzado una maldición al pueblo, que con ese mismo fuego los cremaran cuando mueran y beberán sus huesos. [center]NECESITAMOS TU AYUDA PARA ATRAPAR EL AVE QUE SE LLEVÓ EL FUEGO Y ENCENDER UN ÁRBOL ALTO PARA QUE ESPARZA BRAZAS A TODAS LAS PERSONAS DEL PUEBLO.","[fill]Ipa theri peni nii riye pe wamahe kowa wake thaponomiheha, mori shapori ani wake re thaponoweini urihi hami nii pe ripiama pe suwepi sho kekipi niya ha iyani.ai the titi haru hami the pe moyawerayoma pei hushomi hami kowa wa ke re thaponowei e wake hape pehi a ikama mahe,ma kuwi pe suwepi e ano hushuwo he parohooma, yaro a nakarema a niya ha shimani wake wake misi nia ha ruwamani ma kuwi,ihin tehe a hirai showaoma, ihin wake ma kuwini wamaki yaprayou hoowe wamaki ishi pe kowayou heowe a kuma. WAMAREKI TA ÁYERIPRARI KIRITHAMI YAMA HUWEAPE KOPWA WAKE KAI RE ISIRIHE WAKE RE MAKEKUTUHE HII ISIWE KE HIMAMI WAKE PARARAYOMA KOMI THE PE PEHI YANOMAMI.","[fill]Meu povo yanomami foram comer alimentos crus, porque eles têm fogo, um dos xamãs tinha fogo escondido e foi para a floresta para cozinhar alimentos e apenas para sua esposa. Alguns dias atrás, foi descoberto que manteve o fogo no estômago e a única maneira de tirá-lo foi fazendo-o rir. Mas sua esposa é mau, ele enviou um pássaro para levar o fogo para longe e lançou uma maldição para as pessoas, com o mesmo fogo cremado quando morrem e beber os seus ossos. [center]PRECISAMOS DE SUA AJUDA PARA PEGAR A AVE QUE TOMOU O FOGO E ALTA EM UMA ÁRVORE PARA ESPARSA BRASAS TODAS AS PESSOAS DO POVO.",[fill]تم بلدي يانومامي الناس يأكل الخام طعامهم لأن لديهم النار، كان واحدا من الشامان النار خفية وذهب إلى الغابة لطهي الطعام وفقط لزوجته. وقبل أيام قليلة تم اكتشاف أن أبقى النار في معدته، والطريقة الوحيدة للحصول عليه من كان جعل منه الضحك. ولكن زوجته هي الشر، وقال انه بعث الطيور لاتخاذ النار بعيدا وبدأت لعنة الناس، مع نفس النار أحرقت عندما يموت وشرب عظامهم. [center] نحن بحاجة لمساعدتكم للقبض على الطيور التي وقع الحريق وارتفاع على شجرة للتخلص من جميع الأشخاص قامة السكان ,[fill]我雅諾馬馬人一直吃他們的食物原料，因為他們有火，巫師的人有隱藏的火，去森林烹調食物，只有他的妻子。前幾天，人們發現存放在他的肚子火，並把它弄出來是讓他笑的唯一途徑。但他的妻子是邪惡的，他已派出一隻鳥走離火，並推出了詛咒的人，當他們死了，喝他們的屍骨火化一樣火。 [center] 我們需要你幫忙趕上那拿著火和高一棵樹處置FATHOMS的人所有的人鳥。,"[fill]Привет! Я шаман, мне нужна ваша помощь, чтобы поймать птицу, которая украла огонь, если вы принесете даст золотое перо. Привет! Я шаман, мне нужна ваша помощь, чтобы поймать птицу, которая украла огонь, если вы принесете даст золотое перо.",
consejo ave,"[fill][b]In this [color=green]mission[/color][/b] you should pursue the bird until you can remove the fire, be careful not to stay long behind her or sparks of fire will burn her; the best way is by jumping up.","[fill]En ésta misión deberás perseguir el ave hasta que puedas quitarle el fuego, ten cuidado de no quedarte mucho tiempo detrás de ella o las chispas de fuego te quemarán; la mejor forma es saltandole arriba.","[fill][b]Ei the a re [color=green]kuwiha kirithami[/color][/b]wama a nosi pope kowa wama e wake hukeape,waha moyawei kuni wa no si yauwo aheteo mai wa isihirayou wei kethe, wa isihimamope wa ha yutuyutu moni.","[fill]Nesta missão você deve perseguir o pássaro até que você pode remover o fogo, tome cuidado para não ficar muito tempo atrás dela ou faíscas de fogo vai queimar-la; a melhor maneira é por saltar para cima.",[fill]في هذه المهمة يجب عليك مطاردة الطيور حتى تتمكن من إزالة النار، يجب الحرص على عدم البقاء طويلا وراء ظهرها أو شرارات النار ستحرق لها. أفضل طريقة هي عن طريق القفز صعودا.,[fill]在這次任務中，你必須追鳥，直到你可以祛火，要小心，不要長時間停留她或明火能燃燒她的身後火花,"[Fill] В этой миссии вы должны преследовать птицу, пока вы не можете удалить огонь, будьте осторожны, чтобы не остаться далеко позади нее или искры огня будет гореть ее; лучший способ это прыгая вверх.",
consejo arboles,"[fill]Seen above the trees, you may find some useful things.","[fill]Observa encima de los árboles, es posible que encuetres algunas cosas útiles.","[fill]Heyaka hami the mi hii hi hami,ai totihitawe wathe he harei wei kethe.","[fill]Visto por cima das árvores, você pode encontrar algumas coisas úteis.",[fill]ينظر فوق الأشجار، قد تجد بعض الأشياء المفيدة.,[fill]樹上面看到的，你可能會發現一些有用的東西。,"[fill]Видели над деревьями, вы можете найти некоторые полезные вещи.",
consejo tablas,"[fill]Do not rely on the woods road, the bridge has lately been falling rain","[fill]No te confíes en las maderas del camino, ultimamente el puente se ha estado cayendo por las lluvias.","[fill]The pe puhi potihe pei yo hami wa riya re huuwei,hei tehe pei yo pe wariyo maa ani.","[fill]Não confie em estrada mata, a ponte ultimamente tem vindo a cair chuva.",[fill]لا تعتمد على الطريق الغابات، الجسر قد تم مؤخرا يسقط المطر.,[fill]不要依賴樹林路上，橋上近來被雨聲。,"[fill]Не полагайтесь на дороге леса, мост в последнее время падал дождь.",
pedir pluma,,[fill]Las plumas de colores tienen más valor que las blancas [img]res://textures/elementos/pluma_roja.png,,,,,,
